rank,budget,tagline,box_office
96,Not Available,IT STAGGERS THE SENSES!...SHOCKS the Imagination - It will leave you Gasping - It is the Sensation of 3 Continents!,35566
97,15000000,A Mighty Motion Picture Of Action And Adventure!,45720631
98,3101000,Alfred Hitchcock takes you.... North by Northwest!,142319
99,2479000,A Hitchcock thriller. You should see it from the beginning!,7798146
100,Not Available,One of the Great Films of Our Time!,96302
101,10000000,One person can change your life forever.,174122191
102,3000000,"Movie-wise, there has never been anything like ""THE APARTMENT"" love-wise, laugh-wise or otherwise-wise!",18778738
103,2200000,"Being the adventures of a young man ... who couldn't resist pretty girls ... or a bit of the old ultra-violence ... went to jail, was re-conditioned ... and came out a different young man ... or was he ?",26960374
104,927262,"IT'S LOVE AND MURDER AT FIRST SIGHT! (print ad - Lubbock Morning Avalanche - Lindsey Theatre - Lubbock, Texas - September 1, 1944 - all caps)",14651
105,30000000,An Epic Story of the Vietnam War [Australia Theatrical],46358827
106,170000000,Feel the need... The need for speed.,1488732821
107,25000000,He was Tony Montana. The world will remember him by another name...SCARFACE.,65884703
108,Not Available,An American Musical,Not Available
109,6800000,The search began at the opening of their mother's will.,6788659
110,2000000,The most beloved and widely read Pulitzer Prize Winner now comes vividly alive on the screen!,599146
111,60000000,An L.A. Redemption,187436818
112,5500000,"Recapture ""the STING Experience"". REMEMBER HOW GOOD THE FEEL WAS THE FIRST TIME (re-release)",156000000
113,175000000,Fly Up to Venezuela,735099102
114,500000,"Ugly truth, sweet lies",22926076
115,EM 6000000,Fritz Lang's 1927 Masterpiece Now With 25 Minutes of Lost Footage (2010 re-release),1349711
116,1300000,"On every street in every city in this country, there's a nobody who dreams of being a somebody.",28570902
117,35000000,"Off the record, on the QT, and very hush-hush...",126216940
118,28000000,It will blow you through the back wall of the theater!,141603197
119,6000000,Stealin' Stones and Breakin' Bones,83557872
120,48000000,He's back in an all new adventure. Memorial Day 1989.,474171806
121,133000,The Prize Picture They Want to Censor!,436655
122,Not Available,Every Child is Special,21897373
123,95000000,Time is the enemy.,384479940
124,13500000,"April 1945, a nation awaits its...",92181574
125,Not Available,You think our girls are any lesser than boys?,Not Available
126,600000,The man with no name is back.,15000000
127,150000000,The Legend Begins,373672993
128,250000,This is the great film he has been working on for a whole year,41960
129,2883848,"Not since SCARFACE, so much action. Not since the Marx Brothers, so much comedy. Not since THE SEVEN YEAR ITCH, so much Marilyn.",195088
130,6000000,Nothing is as it seems,24427162
131,1400000,It's all about women---and their men!,151052
132,100000000,Earn. Spend. Party.,406878233
133,23000000,Inspired by a True Friendship,321752656
134,3000000,More than a motion picture...It is an overwhelming experience in human emotion you will never forget!,12180
135,52000000,You don't stay at the top forever,116112375
136,11500000,tionDramaWar,4164283
137,19000000,What happens when make-believe believes it's real?,83862032
138,60000000,All the world's a stage...,264118201
139,25000000,There Will Be Greed. There Will Be Vengeance.,76182388
140,14400000,"It's a hell of a thing, killing a man",159167799
141,40000000,"""I see dead people""",672806432
142,80000000,Someone is missing.,294805697
143,58000000,The Only Thing Greater Than the Power of the Mind is the Courage of the Heart,316791257
144,63000000,Life finds a way.,1109802321
145,Not Available,Better if all these men were dead. Think about it!,46808
146,3000000,Storming to a New High in High Adventure !,5014000
147,229575,You can do worse than see it.,1940906
148,4000000,put a fence in front of these men...and they'll climb it...,228178
149,25000000,There Are No Clean Getaways,171627434
